MS;Region;Article ;Descriptor;Assessment criteria;Assessment;Summary;Score ;Conclusion;Source file
BE;ATL;13;D1-M;Timelines;"Timeline to achieve GES
Belgium states that ‘all proposed additional measures are considered as valid and useful measures to contribute to the achievement of good environmental status by 2020’.

Timeline for implementation of the PoM
Belgium reports a number of existing measures. Most new measures will be implemented in 2016 (23A, 24, 25A, 26B, 26C, 32), with the exception of measures 25B and 26A, which will be implemented in 2017 and 2019 respectively.";The Member State reports that GES will be achieved by 2020. Most new measures are in place by 2016, and two new measures will be implemented by 2017 and 2019. The timelines are appropriate;3;Appropriate;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
BE;ATL;14;D1-M;Exceptions;Belgium does not apply exceptions for D1-M. ;Belgium does not apply exceptions for D1-M. ;na;na;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
BE;ATL;13;D1-R;Coverage of pressures;Not reported ;not reported ;not reported ;not reported ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
BE;ATL;13;D1-R;Coverage of GES and targets;Not reported ;not reported ;not reported ;not reported ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
BE;ATL;13;D1-R;Timelines;Not reported ;not reported ;not reported ;not reported ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
BE;ATL;14;D1-R;Exceptions;Not reported ;not reported ;not reported ;not reported ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
BE;ATL;13;D1-C;Coverage of pressures;Not reported ;not reported ;not reported ;not reported ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
BE;ATL;13;D1-C;Coverage of GES and targets;Not reported ;not reported ;not reported ;not reported ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
BE;ATL;13;D1-C;Timelines;Not reported ;not reported ;not reported ;not reported ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
BE;ATL;14;D1-C;Exceptions;Not reported ;not reported ;not reported ;not reported ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
BE;ATL;13;D1 Pelagic ;Coverage of pressures;"A large number of measures address physical impacts to the seabed, which include the pressures of physical loss and physical disturbance, including abrasion. Belgium considers fishing activities to be a contributing activity to these pressures and therefore reported a number of measures that aim to reduce the impacts of fishing gear on the seabed (measure 6E, 9, 26B, 26C, 23A), even if some of the measures are trial cases and the corresponding monitoring activities (thus, indirect measures). 

Belgium also identified offshore constructions as an activity which can cause physical loss and damage, in particular occurring during constructions for offshore wind farms. These activities will be addressed by measures 3A, 3F and 7C. A large number of Belgium’s measures address activities linked to sand and gravel extraction, which it considers having significant physical impacts on the seabed (measure 4A-E, 6B, 6C, 25A, 25B). Finally, physical impacts on the seabed also stem from the dumping of dredge material, which is addressed by measures 5A, 6D and 7D. Belgium reports that the pressure of selective extraction of gravel originating from fishing activities is addressed by two measures (25A and 25B). Belgium also considers the pressure of severe pollution from shipping to be relevant for seabed habitats and it seeks to address this through measure 26A. Belgium also reports submarine cables and pipeline operations as a relevant source of pressure and addresses it with measures 3C and 6A. Nevertheless, land claim activities are not addressed. Furthermore, sand extraction is allowed in protected habitats and be reduced by 1% per year.

At subregional level, Belgium - like most North Sea Member States – reports under Article 8 that marine renewable energy generation, land claim and coastal defence, and solid waste disposal are relevant for physical loss in its waters. While the Belgian PoM addresses marine renewable energy generation and solid waste disposal, land claim and coastal defence activities have not been addressed by Belgium’s measures. It is unclear, therefore, whether or not the physical loss pressure is addressed by the PoM. On the other hand, Belgium reports that physical damage, fisheries, shipping and marine mining will be relevant for physical damage in its waters, which are all addressed by the PoM. 

Again, Belgium links measures 5, 23A and 26A for seabed habitats to OSPAR.";"Water column habitats: No measures are reported specifically for water column habitats and no justification is provided. Nevertheless, D2, D5 and D8 measures will contribute to reducing pressures on water column habitats. These are described and assessed in the relevant sections of this report (4.2, 4.4 and 4.6, as well as 4.10.7).

Seabed habitats: The reported groups of measures partially address physical loss and damage pressures from fishing activities, offshore constructions, the laying of underwater cables, sand and gravel extractions and the dumping of dredge material. Severe pollution from shipping will also be covered, in addition to selective extraction of gravel through fishing activities. Land claim activities are not addressed. Furthermore, sand extraction is allowed in protected habitats and will be reduced by 1% per year. ";2;Partially addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
BE;ATL;13;D1 Pelagic ;Coverage of GES and targets;"The Belgian PoM addresses the GES definition as the reported measures aim to reduce impacts from human activities (such as fishing, sand and gravel extraction, construction, etc.), which will likely lead to the improvement and maintenance of seafloor integrity, reduce physical damage and improve the condition of benthic communities. 

Target 7 is likely to be addressed through the PoM, as Belgium reports several measures that aim to restore gravel and sand beds by managing, limiting and even banning extraction activities in some areas. Targets 8 and 9 are also addressed, as an important section of Belgium’s measures will work towards reducing the impact of fishing gear on seabed habitats. Target 10 is likely to be addressed through measures covering further designations and implementations of MPAs, with destructive fishing activities and other seabed-harming activities limited or banned in some trial areas. 

As the measures will cover MPA designations, limits and bans on gravel bed exploitation and fishing activities, and collaboration between the Flemish and federal authorities, they will likely address the objectives defined by the targets, i.e. a positive trend in key engineering benthic species (target 11), the spring median benthic bioturbation potential of the white furrow shell (Abra alba) (target 12), a positive trend in median size of the sessile, long-lived and larger benthic species (target 13), a positive trend in frequency of occurrence and density of key and long-lived species (target 14), prevention of loss or positive trend in species richness within all key hard substrate taxa (target 15) and a decrease of occurrence frequency of damaged common starfish (Asterias rubens). Even though Belgium does not specify the species covered in its measure descriptions, it reports which targets - and therefore which species - will be addressed by each individual measure. It is likely, therefore, that the relevant species are targeted by the PoM, thus addressing the targets for seabed habitats.";"Water column habitats: No measures are reported specifically for water column habitats and no justification is provided. Nevertheless, D2, D5 and D8 measures will contribute to reducing pressures on water column habitats. These are described and assessed in the relevant sections of this report (4.2, 4.4 and 4.6, and 4.10.7). 

Seabed habitats: The reported measures aim to reduce the impacts from human activities, including fisheries and sand and gravel extraction. This addresses the GES criteria for seafloor integrity, physical damage and benthic communities. In terms of targets, the measures address the benthic habitat targets by implementing MPAs with restricted fishing and gravel and sand extraction activities, in addition to increasing collaboration between federal and regional authorities to improve the implementation of fishing activities with less impact on the seabed. ";3;Addressed;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
BE;ATL;13;D1 Pelagic ;Timelines;"Timeline to achieve GES
Belgium states that ‘all proposed additional measures are considered as valid and useful measures to contribute to the achievement of good environmental status by 2020’.

Timeline for implementation of the PoM
Belgium reports a number of existing measures. Most new measures will be implemented in 2016 (23A, 24, 25A, 26B, 26C, 32), with the exception of measures 25B and 26A, which will be implemented in 2017 and 2019 respectively.";The Member State reports that GES will be achieved by 2020. Most new measures are in place by 2016, and two new measures will be implemented by 2017 and 2019. The timelines are appropriate;3;Appropriate;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
BE;ATL;14;D1 Pelagic ;Exceptions;Belgium does not apply exceptions for D1 Pelagic. ;Belgium does not apply exceptions for D1 Pelagic. ;na;na;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
BE;ATL;13;D4;Coverage of pressures;"From D1, 4, 6 assessment 
Several of Belgium’s measures aim to address the impacts of fisheries extraction, such as selective species extraction, by-catch and discards (measures 8, 23, 26A). Measure 32 specifically refers to shark and ray species. Belgium also identifies pollution as a pressure generated by dangerous substances and originating from shipping, which will be addressed by a measure on shipping bans in MPAs (measure 23). Finally, the pressure of abrasion, caused by destructive fishing methods, is also addressed through its PoM (measure 23). 

At a regional level, Belgium links its measures 23A and 26A to actions undertaken in the context of OSPAR for D1, 4 Fish.

With respect to the pressures assessment for mammals, Belgium reported measures that address by-catch resulting from the use of tangling and gill nets (measure 11A, 11B, 11C, 24). Belgium banned the use of these nets for coastal fishing from beaches, and also obliged fishermen to release entangled species unharmed and to report any entanglement when fishing from vessels. Nevertheless, Belgium does not report measures that will specifically address loss of mammal habitats, or impacts through shipping, including underwater noise. Hence pressures are partially addressed for mammals 

At a regional level, Belgium reports linking its PoM to actions undertaken in the context of OSPAR through measure 24. 

";"The reported measures cover impacts from fishing activities, such as selective species extraction, by-catch and discards. Pollution from shipping and fishing vessels are also addressed. It is nevertheless not clear if cephalopods are addressed through any measures.

The reported groups of measures partially address the main pressure of incidental by-catch from fisheries, including the ban on tangling and gill-net fishing in shallow-water areas. However, pressures from shipping, such as underwater noise, and impacts on mammal habitats are not covered by Belgium.";3;Addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
BE;ATL;13;D4;Coverage of GES and targets;"From D1, 4, 6 assessment  
The same generally defined Belgian GES as presented for birds above is also applicable to fish, covering general criteria such as species distribution, population size, population condition and ecosystem structure. Cephalopods are not mentioned in the PoM of Belgium. The measures reported by Belgium for fish do not address all GES components, making it likely that the PoM partially supports the achievement of GES. Only aspects such as discards, by-catch, and selective species extraction are covered, in addition to pollution from shipping. Despite their inclusion in GES, no measures have been reported in respect of population size, species distribution or ecosystem structure. 

One target refers fish, target 6, which aims to achieve a positive trend in the number of individuals of the thornback ray (Raja clavata). Belgium reported one measure addressing sustainable management, reinforcing fishing bans for sharks and rays, and the introduction of a fishing ban on some species. It states that target 6 will be addressed by the measure. 

The general Belgian GES definition includes the criteria species distribution, population size, population condition and ecosystem structure, which also applies to mammals. Even though the PoM will address aspects of the GES definition by aiming to reduce by-catch of marine mammals in fishing nets, it will be insufficient to address all GES criteria defined by Belgium. It is unlikely that by-catch measures alone will be sufficient to achieve GES, including the GES criteria ecosystem structure, making the PoM partially addressing GES for mammals. 

Target 5 sets out that the yearly number of incidentally by-caught harbour porpoises (Phocoena phocoena) should be less than 1.7 % of the best estimate of the population size. Belgium addresses marine mammal by-catch through its PoM measures 11A-C and 24, making particular mention of reduction in the by-catch of harbour porpoises (Phocoena phocoena). The target is thus addressed by the measures. ";"The measures reported by Belgium address by-catch and discards, but do not address GES components such as population size and species distribution. Also, the GES criteria linked to D4 Food webs with respect to ecosystem structure will likely not be addressed through the measures. The measures address the target of having a positive trend in the number of individuals of the thornback ray (Raja clavata).

The PoM will address aspects of the GES definition linked to reducing incidental by-catch of marine mammals in fishing nets. However, the coverage of this aspect will be insufficient to address GES criteria such as species distribution, population size, population condition and ecosystem structure (with the latter linked to D4 Food webs). The measures are likely to allow for a reduction of the numbers of yearly incidentally by-caught harbour porpoises (Phocoena phocoena;) as set out in the target.";2;Partially addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
BE;ATL;13;D4;Timelines;"Timeline to achieve GES
Belgium states that ‘all proposed additional measures are considered as valid and useful measures to contribute to the achievement of good environmental status by 2020’.

Timeline for implementation of the PoM
Belgium reports a number of existing measures. Most new measures will be implemented in 2016 (23A, 24, 25A, 26B, 26C, 32), with the exception of measures 25B and 26A, which will be implemented in 2017 and 2019 respectively.";The Member State reports that GES will be achieved by 2020. Most new measures are in place by 2016, and two new measures will be implemented by 2017 and 2019. The timelines are appropriate;3;Appropriate ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
BE;ATL;14;D4;Exceptions;Belgium does not apply exceptions for D1-F and D1-M. ;Belgium does not apply exceptions for D1-F and D1-M. ;na;na;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
BE;ATL;13;D6;Coverage of pressures;"From D1, 4, 6 assessment  
A large number of measures address physical impacts to the seabed, which include the pressures of physical loss and physical disturbance, including abrasion. Belgium considers fishing activities to be a contributing activity to these pressures and therefore reported a number of measures that aim to reduce the impacts of fishing gear on the seabed (measure 6E, 9, 26B, 26C, 23A), even if some of the measures are trial cases and the corresponding monitoring activities (thus, indirect measures). 

Belgium also identified offshore constructions as an activity which can cause physical loss and damage, in particular occurring during constructions for offshore wind farms. These activities will be addressed by measures 3A, 3F and 7C. A large number of Belgium’s measures address activities linked to sand and gravel extraction, which it considers having significant physical impacts on the seabed (measure 4A-E, 6B, 6C, 25A, 25B). Finally, physical impacts on the seabed also stem from the dumping of dredge material, which is addressed by measures 5A, 6D and 7D. Belgium reports that the pressure of selective extraction of gravel originating from fishing activities is addressed by two measures (25A and 25B). Belgium also considers the pressure of severe pollution from shipping to be relevant for seabed habitats and it seeks to address this through measure 26A. Belgium also reports submarine cables and pipeline operations as a relevant source of pressure and addresses it with measures 3C and 6A. Nevertheless, land claim activities are not addressed. Furthermore, sand extraction is allowed in protected habitats and be reduced by 1% per year.

At subregional level, Belgium - like most North Sea Member States – reports under Article 8 that marine renewable energy generation, land claim and coastal defence, and solid waste disposal are relevant for physical loss in its waters. While the Belgian PoM addresses marine renewable energy generation and solid waste disposal, land claim and coastal defence activities have not been addressed by Belgium’s measures. It is unclear, therefore, whether or not the physical loss pressure is addressed by the PoM. On the other hand, Belgium reports that physical damage, fisheries, shipping and marine mining will be relevant for physical damage in its waters, which are all addressed by the PoM. 

Again, Belgium links measures 5, 23A and 26A for seabed habitats to OSPAR.";"From D1, 4, 6 assessment 
Water column habitats: No measures are reported specifically for water column habitats and no justification is provided. Nevertheless, D2, D5 and D8 measures will contribute to reducing pressures on water column habitats. These are described and assessed in the relevant sections of this report (4.2, 4.4 and 4.6, as well as 4.10.7).

Seabed habitats: The reported groups of measures partially address physical loss and damage pressures from fishing activities, offshore constructions, the laying of underwater cables, sand and gravel extractions and the dumping of dredge material. Severe pollution from shipping will also be covered, in addition to selective extraction of gravel through fishing activities. Land claim activities are not addressed. Furthermore, sand extraction is allowed in protected habitats and will be reduced by 1% per year. ";2;Partially addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
BE;ATL;13;D6;Coverage of GES and targets;"From D1, 4, 6 assessement 
The Belgian PoM addresses the GES definition as the reported measures aim to reduce impacts from human activities (such as fishing, sand and gravel extraction, construction, etc.), which will likely lead to the improvement and maintenance of seafloor integrity, reduce physical damage and improve the condition of benthic communities. 

Target 7 is likely to be addressed through the PoM, as Belgium reports several measures that aim to restore gravel and sand beds by managing, limiting and even banning extraction activities in some areas. Targets 8 and 9 are also addressed, as an important section of Belgium’s measures will work towards reducing the impact of fishing gear on seabed habitats. Target 10 is likely to be addressed through measures covering further designations and implementations of MPAs, with destructive fishing activities and other seabed-harming activities limited or banned in some trial areas. 

As the measures will cover MPA designations, limits and bans on gravel bed exploitation and fishing activities, and collaboration between the Flemish and federal authorities, they will likely address the objectives defined by the targets, i.e. a positive trend in key engineering benthic species (target 11), the spring median benthic bioturbation potential of the white furrow shell (Abra alba) (target 12), a positive trend in median size of the sessile, long-lived and larger benthic species (target 13), a positive trend in frequency of occurrence and density of key and long-lived species (target 14), prevention of loss or positive trend in species richness within all key hard substrate taxa (target 15) and a decrease of occurrence frequency of damaged common starfish (Asterias rubens). Even though Belgium does not specify the species covered in its measure descriptions, it reports which targets - and therefore which species - will be addressed by each individual measure. It is likely, therefore, that the relevant species are targeted by the PoM, thus addressing the targets for seabed habitats.";"From D1, 4, 6 assessment 
Water column habitats: No measures are reported specifically for water column habitats and no justification is provided. Nevertheless, D2, D5 and D8 measures will contribute to reducing pressures on water column habitats. These are described and assessed in the relevant sections of this report (4.2, 4.4 and 4.6, as well as 4.10.7).

Seabed habitats: The reported groups of measures partially address physical loss and damage pressures from fishing activities, offshore constructions, the laying of underwater cables, sand and gravel extractions and the dumping of dredge material. Severe pollution from shipping will also be covered, in addition to selective extraction of gravel through fishing activities. Land claim activities are not addressed. Furthermore, sand extraction is allowed in protected habitats and will be reduced by 1% per year. 
";3;Addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
BE;ATL;13;D6;Timelines;"Timeline to achieve GES
Belgium states that ‘all proposed additional measures are considered as valid and useful measures to contribute to the achievement of good environmental status by 2020’.

Timeline for implementation of the PoM
Belgium reports a number of existing measures. Most new measures will be implemented in 2016 (23A, 24, 25A, 26B, 26C, 32), with the exception of measures 25B and 26A, which will be implemented in 2017 and 2019 respectively.";The Member State reports that GES will be achieved by 2020. Most new measures are in place by 2016, and two new measures will be implemented by 2017 and 2019. The timelines are appropriate;3;Appropriate ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
BE;ATL;14;D6;Exceptions;Belgium does not apply exceptions for D1 Pelagic. ;Belgium does not apply exceptions for D1 Pelagic. ;na;na;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/b800d03d-1dbf-40a1-8e68-712ab87453ed/details
BG ;BLK ;13;D1-B;Coverage of pressures;"All direct measures reported for birds aim to protect bird habitats and their resting and feeding sites, largely through spatial protection and MPA measures (BLKBG-M019-E, BLKBG-M014-TRB, BLKBG-M015-TRB, BLKBG-M013-TRB). Under measure BLKBG-M014-TRB, Bulgaria specifically highlights its intention to consider bird conservation when updating management plans for MPAs.  

Bulgaria reports a number of fisheries measures which may address bird by-catch. Furthermore, it addresses by-catch from fisheries through one bird specific measure (BLKBG-M013-TRB) and particularly in MPAs (BLKBG-M014-TRB, BLKBG-M015-TRB). Overall, the PoM addresses the pressures. 

At a regional level, Bulgaria reports a number of measures which are conducted in collaboration with Romania. ";Pressures for birds are addressed. The PoM includes spatial protection measures and addresses by-catch (inside and outside MPAs). ;3;Addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/c59f5496-f414-4375-b87c-1ca753d7b9c3/details
