Recommendation code;Recommendations ;Applicable MS or (sub)region;Applicable descriptors;URL Commission report;comments
Art13/2016/BE/Rec11;The Member State should establish early warning systems for introductions of NIS as measures.;BE;D2;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/BG/Rec01;In general, the Member State should better address certain pressures and activities. These are specified in the descriptor specific recommendations below. ;BG;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/BG/Rec02;GES and targets definitions should be better addressed for eutrophication (D5), hydrological changes (D7), contaminants (D8), marine litter (D10), birds, fish, mammals and water column habitats (D1, 4) and seabed habitats (D1, 4, 6).;BG;D5, D7, D8, D10, D1-B, D1-F, D1-M, D1-P, D6;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/BG/Rec03;The Member State should provide GES and targets definitions for underwater noise (D11).;BG;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/BG/Rec04;The Member State should provide an assessment on when GES will be achieved.;BG;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/BG/Rec05;The Member State should establish more links with existing EU policies and international instruments for contaminant in seafood (D9), eutrophication (D5), hydrographical changes (D7) and underwater noise and energy (D11).;BG;D9, D5, D7, D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/BG/Rec06;The Member State should clearly identify the timelines for implementation of all measures as well as secured funding.;BG;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/BG/Rec07;The Member State should provide more information about its spatial protection measures (representation of species and habitats within the MPAs, the size and location of MPAs, the conservation objectives of the MPAs).;BG;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/BG/Rec08;The Member State should quantify the pressures present in its waters and their expected level of reduction as a result of the established measures. This could be facilitated by further efforts to address knowledge gaps and define the methodology for such estimations at regional or EU level. Such quantification will also contribute to linking the measures with the achievement of GES.;BG;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/BG/Rec09;The Member State should make better links between the groups of measures reported for pressure descriptors and their effects on the state descriptors. This would allow a comprehensive view of the impact of measures affecting all descriptors.;BG;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/BG/Rec10;The Member State should ensure better linkages between its PoM and Monitoring Programmes, in order to ensure that the effects of the measures, and hence their efficiency and effectiveness in meeting targets and GES, are measured through the Monitoring Programmes.;BG;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/BG/Rec11;The Member State should report data collection efforts under the MSFD Monitoring Programmes (Article 11) and not under the Programme of Measures (Article 13). However, when knowledge is too scarce to design effective measures, it is useful to indicate actions taken to address these gaps via research measures.;BG;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/BG/Rec12;The Member State should provide more information on estimating the reductions of pressures that are expected from the measures and how this will benefit species and habitats. Many of the monitoring programmes included detailed ecological information on the dynamics of species and habitats and deviations from natural trends and it is important that this information is put in context with the PoM and when such measures will allow for GES to be achieved for species and habitats.;BG;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec01;In general, the Member State should better address certain pressures and activities. These are specified in the descriptor specific recommendations below. ;CY;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec02;The Member State should consider whether it is feasible to reduce the current levels of certain pressures in the marine environment, given that the majority of direct measures focus on preventing ongoing and future inputs of pressures. It is observed that most measures aim to address ongoing and new inputs of pressures, whilst very few seek to remove or reduce what is already present in the marine environment due to past activities. More specifically, in a few cases (e.g. marine litter (D10) and, to a lesser extent, NIS (D2)) measures address past, ongoing, and future inputs (e.g. removal of marine litter from the marine environment, in addition to preventing ongoing and future inputs of marine litter). In other cases (e.g. contaminants (D8)), the Member State considers that it is not feasible or cost-effective to remove contaminants which have been introduced in the past and are still present in the marine environment, but rather focus on controlling ongoing and future inputs. In these cases, contaminants will continue to act as sources of the pressure on the marine environment for years to come, depending on their degradation rates.;CY;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec03;GES and targets definitions should be better addressed for birds, fish and cephalopods, marine mammals and reptiles, water column habitats (D1, 4) and seabed habitats (D1, 4, 6), commercial fish and shellfish (D3), marine litter (D10) and underwater noise (D11).;CY;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec04;The Member State should strive to determine the timelines for achieving GES (especially for D3, D7, D10, D11, D1, 4, 6). Furthermore, if GES is not expected to be achieved by 2020, then the Member State should estimate the alternative dates by when GES will be achieved.;CY;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec05;The Member State should establish links with existing EU policies and international agreements (e.g. for D3 and D11). This would improve the overall coherence and coverage of the PoM.;CY;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec06;The Member State should define the spatial scope of measures in detail. Furthermore, the spatial scope of measures should be expanded to cover marine waters beyond coastal waters, where relevant pressures are present. The Member State should consider establishing additional measures beyond spatial protection efforts to address species and habitats. It is important that pressures are addressed across its broader territory.;CY;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec07;The Member State should clearly identify the timelines for implementation of their new measures (i.e. for D2, D3, D5, D7, D10, D1, 4, 6), secured funding, and the entities in charge of implementation for all their measures.;CY;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec08;The Member State should quantify pressures and their expected reduction as a result of the established measures. This could be facilitated by further efforts to address knowledge gaps and define the methodology for such estimations at regional or EU level. Such quantification will also contribute to linking the measures with the achievement of GES.;CY;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec09;The Member State should ensure coherence of its determinations of GES, environmental targets and the PoM. This would allow to use environmental targets systematically as milestones towards achieving GES through the measures, and monitor this progress through the MSFD monitoring programmes. This is applicable mainly to birds, marine mammal and reptiles (D1, 4), NIS (D2), hydrographical changes (D7) and underwater noise and energy (D11).;CY;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec10;The Member State should report data collection efforts under the MSFD Monitoring Programmes (Article 11) and not under the Programme of Measures (Article 13). However, when knowledge is too scarce to design effective measures, it is useful to indicate actions taken to address these gaps via research measures.;CY;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec11;The Member State should address the introduction of NIS in its marine waters from shipping, land claim and coastal defence activities. ;CY;D2;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec12;The Member State should clarify the link of its PoM with the CFP.;CY;D3;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec13;The Member State should establish measures to tackle hydrographical changes from additional human activities such as urban areas and agriculture.;CY;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec14;The Member State should address cumulative impacts on habitats by multiple stressors.;CY;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec15;The Member State should utilise synergies with MSP for addressing cumulative impacts.;CY;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec16;The Member State should better address pressures from activities not subject to local/project scale EIAs (e.g. fishing, maritime transport). In some cases (e.g. hydrological changes where local dimension is important) this gap hampers the assessment of cumulative effects.;CY;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec17;The Member State should establish measures to address marine litter from shipping or industrial sources.;CY;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec18;The Member State should address micro-litter, preferably through direct measures.;CY;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec19;The Member State should conduct additional research to address data gaps, increase knowledge and pave the way for direct action as soon as possible.  ;CY;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec20;The Member State should make efforts to identify pollution hot spots (e.g. from plastic pellets, lost fishing gear, etc.) and reduce the mortality of turtles.;CY;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec21;The Member State should establish direct measures to cover activities that are known to produce high levels of noise, as soon as possible (e.g. shipping, fisheries, recreational activities, industry (oil and gas), marine research and defence operation activities).;CY;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec22;The Member State should address data gaps and consolidate research results to move closer to characterising the noise pressure, in line with the recommendation of TG Noise. This will enable defining more concrete and direct measures to address underwater noise in the second MSFD implementation cycle.;CY;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec23;The Member State should consider establishing measures that target other energy inputs if possible (e.g., heat, light).;CY;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec24;The Member State should establish additional measures targeting specific bird species.;CY;D1, 4 – Birds;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec25;The Member State should establish additional measures to address pressures on birds, namely, by-catch. Additional measures could target disturbances on nesting sites by predation, effects of NIS and litter ingestion, as well as measures covering birds’ food sources. If these are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on birds should be explained.;CY;D1, 4 – Birds;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec26;The Member State should establish measures that extend beyond CFP efforts, and cover additional fish species and cephalopods, which are non-commercial species in open sea areas, as well as functional fish habitats (including spatial protection measures). ;CY;D1, 4 – Fish and cephalopods;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec27;The Member State should establish measures that include additional MPAs in open sea areas to protect non-commercial fish species from various pressures (NIS, by-catch, noise and contaminants). If these are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on fish should be explained.;CY;D1, 4 – Fish and cephalopods;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec28;The Member State should provide better information on existing MPAs and the level of protection they provide for fish (commercial and non-commercial), in relation to where fish species occur within Member States' territorial waters, and how they are protected.;CY;D1, 4 – Fish and cephalopods;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec29;The Member State should establish additional measures covering by-catch from fishing activities.;CY;D1, 4 – Mammals and reptiles;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec30;The Member State should establish additional measures, including spatial protection measures, to address relevant pressures on mammals beyond by-catch (e.g. impacts on mammals due to shipping (collision), underwater noise, entanglement, and ingestion of litter). If these are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on mammals should be explained. ;CY;D1, 4 – Mammals and reptiles;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec31; Member State should more clearly indicate which measures address pressures for these habitats (as well as plankton communities), and elaborate on how GES and targets for water column habitats are expected to be achieved.;CY;D1, 4 – Water column habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec32;The Member State should establish measures covering port operations, land claim and coastal defence as well as all aspects of recreational activities (e.g., fishing, vessels mooring, diving), aquaculture, industry, agriculture and urban areas.;CY;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec33;The Member State should provide more details on measures related to protected areas (and MPAs) such as their area of coverage or temporal ranges of restrictions. The Member State should provide timescales and estimates of how spatial restrictions of seabed damaging activities will allow for GES to be achieved.;CY;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/CY/Rec34;If seabed habitats are to be addressed via measures reported for other descriptors (e.g. D2, D5, D10), the expected effect that measures are to have on seabed habitats should be explained.;CY;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DE/Rec01;In general, the Member State should better address certain pressures and activities. These are specified in the descriptor specific recommendations below.;DE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DE/Rec02;GES and targets definitions should be better covered for underwater noise and energy (D11), water column habitats (D1, 4) and seabed habitats (D1, 4, 6).;DE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DE/Rec03;The Member State should develop more efforts to fill knowledge gaps and provide an assessment on when GES will be achieved.;DE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DE/Rec04;The Member State should establish more links with existing EU policies and international instruments for contaminants in seafood (D9) and underwater noise (D11).;DE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DE/Rec05;The Member State should provide more information about its spatial protection measures (representation of species and habitats within the MPAs, the size, number and location of MPAs, the conservation objectives of the MPAs and the policies and measures that will be in place within these areas).;DE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DE/Rec06;The Member State should quantify the pressures present in its waters and their expected level of reduction as a result of the established measures. This could be facilitated by further efforts to address knowledge gaps and define the methodology for such estimations at regional or EU level. Such quantification will also contribute to linking the measures with the achievement of GES.;DE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DE/Rec07;The Member State should clarify whether recreational vessels are covered by the measures.;DE;D2;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DE/Rec08;The Member State should establish early warning systems of NIS introductions as measures.;DE;D2;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DE/Rec09;The Member State should consider covering additional aspects, such as nutrient inputs from aquaculture, if relevant.;DE;D5;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DE/Rec10;The Member State should better address pressures from activities not subject to local/project scale EIAs (e.g. fishing, maritime transport). In some cases (e.g. hydrological changes where local dimension is important) this gap hampers the assessment of cumulative effects.;DE;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DE/Rec11;The Member State should apply SEA procedures, in addition to EIA procedures, more consistently to ensure that hydrographical changes are tackled at a strategic level, rather than at the project level.;DE;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DE/Rec12;The Member State should better explain the manner in which the D8 measures contribute to D9 targets.;DE;D8/D9;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DE/Rec13;The Member State should establish measures that clearly address marine litter degradation products and ensure that litter does not cause harm to marine life and habitats as suggested in the GES definition.;DE;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DE/Rec14;The Member State should establish research efforts to address data gaps, increase knowledge and pave the way for direct action to address degradation products as well as counter effects on marine species as specified in its GES and targets.  ;DE;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DE/Rec15;The Member State should make efforts to prevent, identify and tackle pollution hot spots (e.g. from plastic pellets, lost fishing gear, single-use plastics, etc.).;DE;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DE/Rec16;The Member State should establish measures that address the impact of electromagnetic fields on marine life. ;DE;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DE/Rec17;The Member State should specify how pressures on birds beyond by-catch are addressed (or will be addressed), namely the effects of NIS and ingestion of litter.;DE;D1, 4 – Birds;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DE/Rec18;The Member State should specify how pressures on mammals beyond by-catch are addressed (or will be addressed), namely the contaminants and ingestion of litter.;DE;D1, 4 – Mammals;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DE/Rec19;The Member State should more clearly indicate which measures reported under other descriptors address pressures for water column habitats (including plankton), and elaborate on how GES and targets for water column habitats are expected to be achieved.;DE;D1, 4 – Water column habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DE/Rec20;The Member State should establish measures addressing marine-based renewable energy generation, marine hydrocarbon extraction and solid waste disposal as well as all aspects of recreational activities (e.g., fishing, vessels mooring).;DE;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DE/Rec21;The Member State should establish more measures that extend beyond spatially protected areas (and MPAs) to ensure a wider spatial coverage for these habitats.;DE;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DE/Rec22;The Member State should provide timescales and estimates of how spatial restrictions of seabed damaging activities will allow for GES to be achieved.;DE;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DE/Rec23;The Member State should more clearly indicate which measures reported under other descriptors address pressures for seabed habitats, and elaborate on how GES and targets for seabed habitats are expected to be achieved.;DE;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DK/Rec01;In general, the Member State should better address certain pressures and activities. These are specified in the descriptor specific recommendations below. ;DK;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DK/Rec02;The Member State should consider whether it is feasible to reduce the current levels of certain pressures in the marine environment (e.g. NIS, contaminants), given that the majority of direct measures focus on preventing ongoing and future inputs of pressures.;DK;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DK/Rec03;GES and target definitions should be better addressed for eutrophication (D5), marine litter (D10), birds (D1, 4), fish (D1, 4), mammals (D1, 4) and seabed habitats (D1, 4, 6).;DK;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DK/Rec04;The Member State should define GES for water column habitats (D1, 4) and targets for hydrographical changes (D7).;DK;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DK/Rec05;If GES is not expected to be achieved by 2020 (e.g. for D5), then the Member State should estimate the alternative date by when GES will be achieved.;DK;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DK/Rec06;The Member State should quantify pressures and their expected reduction as a result of the established measures. This could be facilitated by further efforts to address knowledge gaps and define the methodology for such estimations at regional or EU level. Such quantification will also contribute to linking the measures with the achievement of GES.;DK;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DK/Rec07;The Member State should improve its PoM to address pressures on marine species and habitats. Measures should extend beyond MPAs and other spatially protected areas, to ensure a wider geographical coverage to address certain pressures, e.g. physical damage.;DK;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DK/Rec08;The Member State should ensure better linkages between its PoM and Monitoring Programmes, in order to ensure that the effects of the measures, and hence their efficiency and effectiveness in meeting targets and GES, are measured through the Monitoring Programmes.;DK;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DK/Rec09;The Member State should report data collection efforts under the MSFD Monitoring Programmes (Article 11) and not under the Programme of Measures (Article 13). However, when knowledge is too scarce to design effective measures, it is useful to indicate actions taken to address these gaps via research actions.;DK;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DK/Rec10;The Member State should better address the introduction of NIS in its marine waters from shipping, by including measures targeting bio-fouling, and not just ballast water management, having direct impacts on the pressure.;DK;D2;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DK/Rec11;The Member State should consider developing NIS early detection systems and registries as part of the measures, if it is not already the case.;DK;D2;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DK/Rec12;The Member State should clearly address atmospheric deposition of nutrients (NOx) from sea-based and land-based sources.;DK;D5;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DK/Rec13;The Member State should explain better how its measures can directly address the targets associated to oxygen concentrations or define additional measures addressing this target.;DK;D5;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DK/Rec14;The Member State should utilise synergies with the WFD, MSPD, UWWTD and ICZM processes.;DK;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DK/Rec15;The Member State should apply SEA procedures, in addition to EIA procedures, more consistently to ensure that hydrographical changes are tackled at a strategic level, rather than at the project level.;DK;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DK/Rec16;The Member State should address cumulative impacts.;DK;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DK/Rec17;The Member State should better address pressures from activities not subject to local/project scale EIAs (e.g. fishing, maritime transport). In some cases (e.g. hydrological changes where local dimension is important) this gap hampers the assessment of cumulative effects.;DK;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DK/Rec18;The Member State should address NIS proliferation and socioeconomic impacts on marine industries, which are both part of the GES definition, or clearly explain how its measures contribute to address these aspects.;DK;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DK/Rec19;The Member State should develop efforts to prevent, identify and tackle pollution hot spots (e.g. from plastic pellets, lost fishing gear, single-use plastics, etc.).;DK;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DK/Rec20;The Member State should consider establishing measures that target other energy inputs if possible and relevant (e.g. heat, light).;DK;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DK/Rec21;The Member State should consider establishing additional measures targeting all bird species mentioned in the target definition (beyond those specifically covered in the PoM), and also beyond spatial protection measures.;DK;D1, 4 – Birds;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DK/Rec22;The Member State should consider establishing additional measures to directly address pressures on birds, such as incidental by-catch, physical disturbances (light pollution), disturbances on nesting sites by predators, effects of NIS and litter ingestion, as well as measures covering birds’ food sources. If these are to be addressed via measures reported for other descriptors, the expected effect that such measures are to have on birds should be explained.;DK;D1, 4 – Birds;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DK/Rec23;The Member State should clearly explain whether its measures contribute to reducing incidental by-catch of non-commercial species, or, if it is not the case, establish additional measures about this pressure.;DK;D1, 4 – Fish and cephalopods;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DK/Rec24;The Member State should explain whether all relevant fish species, including anadromous fish and fish (e.g. elasmobranchs) associated with the seabed which occur outside of reef areas, are covered by the measures.;DK;D1, 4 – Fish and cephalopods;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
