Country;Descriptor;AssessmentCriteria;MSFDArticle;Assessment;Conclusions;Criteria;OverallScore;OverallAssessment
Belgium;D11;Adequacy;Targets (Article 10);"Belgium reports two targets on underwater sound, each associated with one indicator. Target 48 aims to limit the anthropogenic impulsive sound of individual projects. The target is measurable and the target definition includes a threshold value to be reached at 750m from the source. Some measuring methods are reported. Target 48 reveals a pragmatic approach since it is relevant to assess and limit the impact of anthropogenic impulsive sound. Yet, it is unclear how the threshold value for noise pressure has been defined. In addition, it is unclear whether target 48 can also be used to limit impulsive sound sources on a larger, regional scale. A tool for large-scale marine management of underwater noise is not presented. Target 49 could be measurable, when systematic monitoring system becomes operational. The target aims to keep the ambient sound level below the current sound level.

No targets have been identified to address the sources of underwater sound. With the current set of targets, it is questionable whether GES will be achieved. ";The set of targets defined by Belgium for underwater noise is assessed as partially adequate. Although target 48 is measurable, target 49 can only be measurable if a systematic monitoring system is implemented. It is not clear if GES will be achieved with the current set of targets.;"- SMART targets since they integrate threshold values
- Second target can be measured only if systematic monitoring is implemented
- No target on sources of underwater noise";2;Partially adequate
Belgium;D11;Consistency ;;In general, the reporting on underwater sound is limited for GES, IA and targets. The GES definition is consistent with the set of targets, and in correspondence with the Decision, but it is specific enough. The targets and the GES definition are not addressing the pressures of underwater noise. The main pressures are reported in the IA but are described in limited detail. It is doubtful whether GES can be achieved. Substantial data and knowledge gaps are reported.;;;;
Belgium;D2;Adequacy;GES (Article 9);"Belgium set GES for Descriptor 2 only at descriptor level and for one criterion out of two, in both the reporting sheets and the paper report. At descriptor level, the definition is very close to the one of the Directive although the wording is slightly different. Both wordings are considered as equivalent. 

Criterion 2.2 is not mentioned in the GES definition and there is no justification for this.

Finally, there is a definition at the level of criterion 2.1 which also reflects the indicator 2.1.1. It sets an objective of no ‘significant’ increase in the ‘relative’ abundance of NIS. There are no further details as to what is a ‘significant’ increase’, nor what is the ‘relative’ abundance. Baseline is put down with an initial assessment in 2012. Finally, this GES definition excludes species for which there are taxonomic disputes and for which the changes of permanent introduction, including reproduction are negligible are not taken into consideration";The definition of GES for D2 is assessed as partially adequate. GES is defined only at descriptor level and for one criterion out of two. Criterion 2.2 is not covered The definition is not sufficiently precise to assess if GES is reached or not. The baseline is rightly set at the current status. However, Belgium adds some exceptions without clear justification and specification. The minimum requirements are not fully reflected. Rather than ‘no new introduction’, the GES definition focuses on no increase in relative abundance and lack of impacts. ;"- GES only at descriptor level and for one criterion
'- Definition at descriptor level is very close to the Annex I definition
'- At the level of criterion 2.1, the definition remains general & some species are excluded
- Baseline is the current status";2;Partially adequate
Belgium;D2;Adequacy;Initial assessment (Article 8);"Belgium reported on 23 species in the reporting sheets. The Belgium list counts more species than the list prepared under the project ‘Delivering Alien Invasive Species Inventories for Europe’ (DAISIE). However, it is considered as incomplete as about one hundred non-indigenous species have been identified in the Belgian coastal areas that were introduced – either intentionally or accidentally – through human activities. 

The ratio between invasive and native species is not indicated and no assessment of the level of pressure on the environment is provided, although some information is presented on abundance, with an increasing trend of the number of newly recognised introductions, with a particularly remarkable rise after 1975, mainly as a result of more studies. Density (ind/m3) provided for sea walnut, American jacknife. The Belgium report also mentions that four NIS currently have a dominant presence in the marine coastal habitats (both hard and soft substrates): the American jackknife, the Japanese oyster, the New Zealand barnacle and the common slipper shell.";The assessment is considered to be partially adequate. Not all NIS present in Belgian waters are reported upon. The assessment is carried out for several parameters (abundance, spatial distribution, relation to vectors and pathways), and this is done in an adequate way. The assessment covers all relevant geographical areas. However, some information is still missing like ratios between indigenous and non-indigenous species, levels of pressure on the environment, risk areas, and level of impacts on features. Judgements on level and impact of the pressure and plans to fill knowledge gaps are also missing.;"- Adequate assessment of abundance, spatial distribution, vectors and pathways
- Level of pressure and impacts on features are not provided
- No judgement of pressure or trend is provided
- No plans to fill data/knowledge gaps";2;Partially adequate
Belgium;D2;Adequacy;Targets (Article 10);"Belgium has defined one target and one associated indicator to cover Descriptor 2. The target relates only to the introduction of new NIS; while GES definition also relates to no significant increase in relative abundance NIS in relation to 2012 baseline. Therefore, GES and the environmental target are not consistent. The target relates only to macro-fauna and flora. The Belgian paper report mentions that the extension of the target to all ecosystem components will be considered for the next cycles without further clarification.

In general, the target is specific, time-bound (July 2020 ), but it appears very difficult to measure and not realistic as it would be difficult to measure all NIS in an area, because the chance to find a newly introduced, hardly spread species in the course of a survey is very limited. It is also not realistic because it is not deemed possible to avoid (stop) all new introductions.

In addition, the target is not sufficiently targeted towards reducing levels of a specified pressure or impact, or controlling human activities, which are preventing GES from being achieved, as it is not explicit enough. In particular, it does not cover all the main sources of new introductions.

Belgium also introduces specific limitations. The target applies only to macro-fauna and flora (above 1 mm) and does not cover species for which there are taxonomic disputes and for which the changes of permanent introduction, including reproduction are negligible.";The target is assessed as inadequate as it is not realistic and measurable and does not cover all the main sources. The target only relates to new introductions and there is no target on preventing the further expansion of existing NIS. Besides, there is no associated indicator. Finally, Belgium has excluded certain species from the target based on size, uncertainty in knowledge and level of pressure.;"- Only one target which relates to new introduction but not preventing the further spreading of existing NIS
- The target is not SMART
- It does not cover all the main sources of introduction
- No associated indicator
- Certain species excluded as for GES";1;Inadequate
Belgium;D2;Consistency ;;"While the assessment has identified particular species and vectors/pathways, the definition of GES and environmental targets remain very general. 

Besides, as mentioned above, the target relates only to the introduction of new NIS and not existing NIS; while GES definition also relates to no significant increase in relative abundance NIS in relation to 2012 baseline. Therefore, GES and the environmental target are not consistent.

The set of targets is not considered as sufficient to achieve GES, which is itself defined in a vague way. The targets relate directly to a reduction in the identified pressures/impacts but without any specification. In particular, no threshold has been set.";;;;
Belgium;D3;Adequacy;GES (Article 9);"Belgium has defined GES for Descriptor 3 at descriptor, criteria and indicator levels. Criteria 3.1 and 3.2 have been used in the Belgian GES definition while criterion 3.3 has not been applied. For criterion 3.1 there are four, and for criterion 3.2 three, situations to determine whether GES is achieved which are based on the data available for the stock. Reference points such as Fmsy and SSBmsy will rely on ICES advice.

For criteria 3.1 the first two situations as described for the Belgian GES definition apply the Commission Decision primary indicator 3.1.1 fishing mortality (F). The Commission Decision however states that fishing mortality should be at or below Fmsy for all stocks while the Belgian GES allows for exploitation at Fpa under the conditions of situation 2, this is not consistent with the Commission Decision and the outcomes of the working groups. 

Situation 3 of criterion 3.1 has used the secondary indicator as provided by the commission decision and states that the ratio is consistent with a sustainable exploitation based on a proxy reference point. It is however not indicated what is meant with sustainable whether the reference point will be a proxy of MSY which would be in line with the commission decision or whether it means that the indicator does not have a degradation gradient which is in line with the MSFD Task Group 3 Report (March 2010). 

In the case of situation 4 the trends of survey CPUE will be evaluated, however no reference point or trend that could be used to assess GES is specified. 

For criteria 3.2 situation 1 and 2 use the primary indicator 3.2.1 from the Commission Decision spawning stock biomass (SSB). In those situations where the SSBmsy is known GES is achieved when SSB is at SSBmsy which is in line with the Commission decision. During the working group meetings it has however been decided that in order to achieve GES the limit for SSB can also be set at SSBpa which Belgium applies in situation 2 where SSBmsy is not known. For situation 3 instead of using the secondary indicator 3.2.2 biomass indices instead Belgium will rely on trends of survey abundances. It is however difficult to discern whether proxy reference points for this indicator will be set and if yes whether they will be set at MSY or PA.";The GES definition of Belgium for descriptor 3 is assessed as partially adequate. Not all of the different situations defined for criterion 3.1 are in accordance with the requirements of the Commission Decision or the outcomes of the working group meetings that require that all stocks are exploited at or below Fmsy. Not all the limit reference points are clearly defined. For Criterion 3.3 while it is acknowledged in the Commission Decision that this criterion requires additional work to become operational it should still be applied in the national GES definitions.;"- GES states that all stocks should be within safe biological limits
- GES does not apply Fmsy for all stocks (although it does apply to all stocks for which this reference point is known)
- Criterion 3.3 is not applied";2;Partially adequate
Belgium;D3;Adequacy;Initial assessment (Article 8);"The Belgian initial assessment has reported on the impacts on fish stocks and ecosystem components and provided some information on the fishing fleet and level of fishing activity. The information is mainly of a qualitative nature and lacks details such as fleet sizes amount of seabed disturbed and number of functional groups affected by fisheries. 

In the reporting sheets Belgium does provide information regarding the status of Fish stocks in Belgium waters. 5 out of 26 fish stocks were assessed to meet the EcoQO criteria for spawning stock biomass, 8 fish stocks were outside safe biological limits and for 11 fish stocks no reference points could be set. No trends for the pressure from fisheries or for fish stocks as a group were provided. ";The initial assessment of Belgium for the pressure of fisheries is assessed as partially adequate. In the reporting sheets an overview for the amount of stocks within safe biological limits is provided.  For most aspects however the assessment lacks adequate quantitative information and remains very general.;"- Provides an overview for the amount of stocks with a SSB that are within and outside safe biological limits
- Most of the assessment general and insufficiently quantified  including that for fleets";2;Partially adequate
Belgium;D3;Adequacy;Targets (Article 10);"Belgium has defined seven targets and seven associated indicators to address Descriptor 3. The targets are specified towards achieving the GES defined by Belgium and should be achieved by 2020. The targets are not sufficiently ambitious to achieve the objectives of the MSFD. 

For target 23, the fishing mortality for all stocks should be at or below Fmsy not Fpa by 2020. For target 24 the target should be for all stocks to be at or above SSBpa and not only a movement into a positive direction. Target 26 is not SMART as it is not clear what type of revision will take place after six years or what the outcome of the discussion are supposed to be. Target 24 is in conflict with targets 20 and 22, as it states that stocks outside of safe biological limits should show a positive trend while targets 20 and 22 require that all stocks are within safe biological limits. ";The set of environmental targets and associated indicators defined by Belgium for descriptor 3 is assessed as inadequate. The targets are not consistent as a set. In particular target 24 is not sufficiently ambitious to achieve the objectives of the MSFD which requires that all stocks are within safe biological limits. Target 25 is not SMART.;"- Targets do not require all stocks to be within safe biological limits
- Targets are not always consistent as a set (targets are set in relation to the GES definition)
- Not all targets are SMART";1;Inadequate
Belgium;D3;Consistency ;;The GES addresses the issues identified in the initial assessment and specifically the lack of quantified stock assessments which are needed for the determination of reference points such as Fmsy and Bpa. Belgium relies on ICES estimates of MSY and PA points. The targets generally match with the GES definition but target 24 is in conflict with the other targets as well as the objectives of the MSFD that all stocks are at least at SSBpa by 2020. With the exception of target 24 the targets are generally sufficient to achieve GES although they are state targets not pressure targets. ;;;;
Belgium;D4;Adequacy;GES (Article 9);"Belgium has set GES for Descriptor 4 at descriptor and criteria level in both the paper report (Definition of GES and environmental targets for Belgian marine waters) and the reporting sheet. GES is not set at indicator level. The definition at descriptor level reproduces verbatim the definition of Annex I of the MSFD. The lack of indicator detail means that only relatively general descriptions apply.

According to the reporting sheet, all birds, fish, NIS and mammals are covered. However the definitions are very general. The baseline is limited to the 2012 Initial Assessment.

In relation to other Member States the spatial scale of Belgium waters is relatively limited and therefore it is considered as acceptable that GES apply to the whole marine waters, as long as the habitat types (e.g. water column, sea bed, etc.) within are treated separately where necessary.";The definition of GES for Descriptor 4 is assessed as partially adequate. Reference is made to the structure of the food web but details are lacking/ insufficient. This may partially be due to Belgium’s approach of assessing D1, D4 & D6 together. A series of general statements are made referring to population maintenance and habitat diversity, but the definition does not specify what are the key species and top predator species. Limited or no details are given with regards to threshold levels or existing standards and baseline references should be expanded on.;"- GES is defined at criteria level, covering all three criteria of the Commission Decision
- Baseline used is 2012 initial assessment with no ambition to improve towards a reference state
- General definitions, lack of specificity ";2;Partially adequate
Belgium;D4;Adequacy;Initial assessment (Article 8);"From Descriptor 1, 4, 6 assessment (Partially adquate; 2):

Ecosystem
Belgium has not reported at the ecosystem level. ";Not reported.;- Not reported;0;Not reported
Belgium;D4;Adequacy;Targets (Article 10);"From Descriptor 1, 4, 6 assessment (Adequate; 3, but D4 is assessed as Partially adequate):

Belgium has set 17 targets each accompanied with an associated indicator to cover the three biodiversity descriptors. The targets set by Belgium cover almost all criteria for D1, 4 and 6 of the Commission Decision. The only criteria not covered are 4.1 (productivity of key species or trophic groups) and 4.2 (proportion of selected species using at the top of the food webs), meaning that the targets cover food webs only partially.

The targets cover seabirds, with specific species mentioned that are included under the scope of the Birds Directive, molluscs, benthic fauna and flora, elasmobranch and mammals. For the last two categories, Belgium has selected one indicator species representative of the group (the Raja clavata ray for elasmobranch and the Phocoena phocoena harbour porpoise for the mammals). Fish are not covered by the Belgian targets for biodiversity. Commercial stocks are covered by the targets for Descriptor 3 but other non-commercial stocks are therefore not covered. For the habitats, Belgium is using the EUNIS 3 classification rather than the MSFD predominant habitat type classification, covering mud, sand, coarse grained sediment and gravel beds. 

Baseline values for environmental targets refer either to OSPAR EcoQO's, a time reference, the WFD. A number of targets are set for the main species groups and habitat types. For a large number, as the baseline is the state in 2012, it is mentioned that the baseline is still to be calculated/determined. On the whole, the targets are SMART and in some cases quite detailed to species level. 

Many targets relate to trends but there is no specification of a threshold value or at least a quantitative trend in relation to the baseline (e.g. decrease by X%).  

Only a limited number of targets refer to pressures and they are focused on disturbances to seafloor habitats from contact with fishing gear and promotion of alternative, environment-friendly fishing gear.";"From Descriptor 1, 4, 6 assessment (Adequate; 3):

On the whole, the set of targets and indicators defined by Belgium to cover descriptors 1 and 6 are considered as adequate while the targets for descriptor 4 are considered partially adequate. The targets are specific, measurable, realistic and time-bound. In particular, they address the main species groups although only a single species of fish (raja clavata) is covered, and some of the main habitat types. In some ways, the targets appear more detailed than the initial assessment. The targets for descriptors 1 and 6 are ambitious and will aid reaching or maintaining GES if achieved in the timescale given.  In the case of descriptor 4 the targets do not cover the concept of productivity, set a target for large fish and do not address all the main components of the food web. It should also be noted that the set of targets do not address specifically all relevant pressures, which may be a more pragmatic approach. ";"- Most of them are SMART as they include specific threshold values
- The targets do not cover the concept of productivity
- The targets do not cover the large fish indicator";2;Partially adequate
Belgium;D4;Consistency ;;"Belgium has taken an approach to GES definition whereby different elements which relate to several criteria/indicator are combined to define one condition. The accompanying assessment does not follow this same approach and therefore does not include a judgement on the status of the features reported in relation to their GES definition. It is also difficult to assess whether the set of environmental targets and associate indicators defined for Descriptors 1, 4 and 6 collectively address all the main pressures and impacts related to these descriptors as identified by the initial assessment, due to the nature of the targets set. Species related targets do not relate directly back to the pressure. With regard to habitat related targets, only fishing pressure are mentioned.

While the targets are quite specific in addressing population trends and habitat disturbance, given that GES definitions are very broad, it is uncertain whether the targets will be sufficient to achieve GES. ";;;;
