"MeasureCode","Sector","Use or activity","Region","Country_code","Country","Measure Impacts to","Feature code","Feature name","Water body","Pressure code","Pressure name","Pressure type","Pressure location","Ranking","Measure code","Measure name","Measure type recommended to address E02 and/or E03","measure purpose","Measure location","Measure response","Status","Origin of the measure","Nature of the measure","Spatial scope","Measure additional info","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","TOTAL_impacts"
"HDSP11","Ports and traffic","not specified","MATL","DE","Germany","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CG05","Reduce bycatch and incidental killing of non-target species",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,0,0,0,0,1
"HDSP12","Ports and traffic","not specified","MATL","DE","Germany","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CC03","Adapt/manage renewable energy installation, facilities and operation",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,0,0,0,1,2
"HDSP13","Ports and traffic","not specified","MBAL","DE","Germany","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CC03","Adapt/manage renewable energy installation, facilities and operation",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,0,0,0,1,2
"HDSP14","Ports and traffic","not specified","MBAL","DE","Germany","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CG02","Management of hunting, recreational fishing and recreational or commercial harvesting or collection of plants",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,1,0,0,0,0,0,0,0,0,2
"HDSP15","Ports and traffic","not specified","MBAL","DE","Germany","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CC03","Adapt/manage renewable energy installation, facilities and operation",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,0,0,0,1,2
"HDSP16","Ports and traffic","not specified","MBAL","DE","Germany","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CG09","Other measures to reduce impacts from marine aquaculture infrastructures and operation",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,1,1,0,1,1,0,0,5
"HDSP17","Ports and traffic","not specified","MBAL","DE","Germany","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CG01","Management of professional/commercial fishing (including shellfish and seaweed harvesting)",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,1,0,0,0,0,0,0,0,0,2
"HDSP18","Ports and traffic","not specified","MBAL","DE","Germany","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CC12","Reduce/eliminate noise, light, thermal and other forms of pollution related to resource exploitation and energy production",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,0,0,0,1,2
"HDSP19","Ports and traffic","not specified","MBAL","DE","Germany","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CG05","Reduce bycatch and incidental killing of non-target species",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,0,0,0,0,1
"HDSP20","Ports and traffic","not specified","MBAL","DE","Germany","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CG05","Reduce bycatch and incidental killing of non-target species",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,0,0,0,0,1
"HDSP21","Ports and traffic","not specified","MBAL","DE","Germany","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CG01","Management of professional/commercial fishing (including shellfish and seaweed harvesting)",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,1,0,0,0,0,0,0,0,0,2
"HDSP22","Ports and traffic","not specified","MBAL","DE","Germany","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CG09","Other measures to reduce impacts from marine aquaculture infrastructures and operation",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,1,1,0,1,1,0,0,5
"HDSP23","Ports and traffic","not specified","MBAL","DE","Germany","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CG02","Management of hunting, recreational fishing and recreational or commercial harvesting or collection of plants",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,1,0,0,0,0,0,0,0,0,2
"HDSP24","Ports and traffic","not specified","MBAL","DE","Germany","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CC12","Reduce/eliminate noise, light, thermal and other forms of pollution related to resource exploitation and energy production",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,0,0,0,1,2
"HDSP25","Ports and traffic","not specified","MATL","DK","Denmark","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CF03","Reduce impact of outdoor sports, leisure and recreational activities",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,0,0,1,0,2
"HDSP26","Ports and traffic","not specified","MATL","DK","Denmark","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CC02","Adapt/manage exploitation of energy resources",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,0,0,0,1,2
"HDSP27","Ports and traffic","not specified","MATL","DK","Denmark","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CC01","Adapt/manage extraction of non-energy resources",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,1,0,0,0,0,2
"HDSP28","Ports and traffic","not specified","MATL","DK","Denmark","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CG05","Reduce bycatch and incidental killing of non-target species",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,0,0,0,0,1
"HDSP29","Ports and traffic","not specified","MATL","DK","Denmark","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CF03","Reduce impact of outdoor sports, leisure and recreational activities",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,0,0,1,0,2
"HDSP30","Ports and traffic","not specified","MATL","DK","Denmark","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CC02","Adapt/manage exploitation of energy resources",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,0,0,0,1,2
"HDSP31","Ports and traffic","not specified","MATL","DK","Denmark","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CC01","Adapt/manage extraction of non-energy resources",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,1,0,0,0,0,2
"HDSP32","Ports and traffic","not specified","MATL","DK","Denmark","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CG05","Reduce bycatch and incidental killing of non-target species",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,0,0,0,0,1
"HDSP33","Ports and traffic","not specified","MATL","DK","Denmark","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CC03","Adapt/manage renewable energy installation, facilities and operation",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,0,0,0,1,2
"HDSP34","Ports and traffic","not specified","MATL","DK","Denmark","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CE01","Reduce impact of transport operation and infrastructure",1,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,1,0,0,0,0,0,2
"HDSP35","Ports and traffic","not specified","MATL","DK","Denmark","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CC03","Adapt/manage renewable energy installation, facilities and operation",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,0,0,0,1,2
"HDSP36","Ports and traffic","not specified","MATL","DK","Denmark","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CE01","Reduce impact of transport operation and infrastructure",1,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,1,0,0,0,0,0,2
"HDSP37","Ports and traffic","not specified","MBAL","DK","Denmark","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CC03","Adapt/manage renewable energy installation, facilities and operation",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","The Baltic Proper population is critically endangered and measures should be taken to project this population. It is at present unknown which pressures are the highest: bycatch, polution, prey depredation or others.",1,0,0,0,0,0,0,0,0,0,1,2
"HDSP38","Ports and traffic","not specified","MBAL","DK","Denmark","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CC03","Adapt/manage renewable energy installation, facilities and operation",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","The Baltic Proper population is critically endangered and measures should be taken to project this population. It is at present unknown which pressures are the highest: bycatch, polution, prey depredation or others.",1,0,0,0,0,0,0,0,0,0,1,2
"HDSP39","Ports and traffic","not specified","MBAL","DK","Denmark","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CC02","Adapt/manage exploitation of energy resources",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","The Baltic Proper population is critically endangered and measures should be taken to project this population. It is at present unknown which pressures are the highest: bycatch, polution, prey depredation or others.",1,0,0,0,0,0,0,0,0,0,1,2
"HDSP40","Ports and traffic","not specified","MBAL","DK","Denmark","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CF03","Reduce impact of outdoor sports, leisure and recreational activities",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","The Baltic Proper population is critically endangered and measures should be taken to project this population. It is at present unknown which pressures are the highest: bycatch, polution, prey depredation or others.",1,0,0,0,0,0,0,0,0,1,0,2
"HDSP41","Ports and traffic","not specified","MBAL","DK","Denmark","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CC01","Adapt/manage extraction of non-energy resources",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","The Baltic Proper population is critically endangered and measures should be taken to project this population. It is at present unknown which pressures are the highest: bycatch, polution, prey depredation or others.",1,0,0,0,0,0,1,0,0,0,0,2
"HDSP42","Ports and traffic","not specified","MBAL","DK","Denmark","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CE01","Reduce impact of transport operation and infrastructure",1,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","The Baltic Proper population is critically endangered and measures should be taken to project this population. It is at present unknown which pressures are the highest: bycatch, polution, prey depredation or others.",1,0,0,0,0,1,0,0,0,0,0,2
"HDSP43","Ports and traffic","not specified","MBAL","DK","Denmark","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CF03","Reduce impact of outdoor sports, leisure and recreational activities",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","The Baltic Proper population is critically endangered and measures should be taken to project this population. It is at present unknown which pressures are the highest: bycatch, polution, prey depredation or others.",1,0,0,0,0,0,0,0,0,1,0,2
"HDSP44","Ports and traffic","not specified","MBAL","DK","Denmark","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CC02","Adapt/manage exploitation of energy resources",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","The Baltic Proper population is critically endangered and measures should be taken to project this population. It is at present unknown which pressures are the highest: bycatch, polution, prey depredation or others.",1,0,0,0,0,0,0,0,0,0,1,2
"HDSP45","Ports and traffic","not specified","MBAL","DK","Denmark","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CC01","Adapt/manage extraction of non-energy resources",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","The Baltic Proper population is critically endangered and measures should be taken to project this population. It is at present unknown which pressures are the highest: bycatch, polution, prey depredation or others.",1,0,0,0,0,0,1,0,0,0,0,2
"HDSP46","Ports and traffic","not specified","MBAL","DK","Denmark","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CG05","Reduce bycatch and incidental killing of non-target species",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","The Baltic Proper population is critically endangered and measures should be taken to project this population. It is at present unknown which pressures are the highest: bycatch, polution, prey depredation or others.",1,0,0,0,0,0,0,0,0,0,0,1
"HDSP47","Ports and traffic","not specified","MBAL","DK","Denmark","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CE01","Reduce impact of transport operation and infrastructure",1,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","The Baltic Proper population is critically endangered and measures should be taken to project this population. It is at present unknown which pressures are the highest: bycatch, polution, prey depredation or others.",1,0,0,0,0,1,0,0,0,0,0,2
"HDSP48","Ports and traffic","not specified","MBAL","DK","Denmark","Species","1351","Phocoena phocoena","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CG05","Reduce bycatch and incidental killing of non-target species",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","The Baltic Proper population is critically endangered and measures should be taken to project this population. It is at present unknown which pressures are the highest: bycatch, polution, prey depredation or others.",1,0,0,0,0,0,0,0,0,0,0,1
"HDSP49","Ports and traffic","not specified","MATL","ES","Spain","Species","1224","Caretta caretta","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CF07","Reduce/eliminate marine pollution from industrial, commercial, residential and recreational areas and activities",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,1,1,1,0,4
"HDSP50","Ports and traffic","not specified","MATL","ES","Spain","Species","1224","Caretta caretta","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CG05","Reduce bycatch and incidental killing of non-target species",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,0,0,0,0,1
"HDSP51","Ports and traffic","not specified","MATL","ES","Spain","Species","1224","Caretta caretta","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CF08","Reduce/eliminate marine contamination with litter",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,0,0,1,0,2
"HDSP52","Ports and traffic","not specified","MATL","ES","Spain","Species","1224","Caretta caretta","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CF07","Reduce/eliminate marine pollution from industrial, commercial, residential and recreational areas and activities",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,1,1,1,0,4
"HDSP53","Ports and traffic","not specified","MATL","ES","Spain","Species","1224","Caretta caretta","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CG05","Reduce bycatch and incidental killing of non-target species",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,0,0,0,0,1
"HDSP54","Ports and traffic","not specified","MATL","ES","Spain","Species","1224","Caretta caretta","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CX02","Support conservation measures in countries outside the EU",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","International",,1,0,0,0,0,0,0,0,0,0,0,1
"HDSP55","Ports and traffic","not specified","MATL","ES","Spain","Species","1224","Caretta caretta","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CF08","Reduce/eliminate marine contamination with litter",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,0,0,1,0,2
"HDSP56","Ports and traffic","not specified","MATL","ES","Spain","Species","1224","Caretta caretta","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CX02","Support conservation measures in countries outside the EU",0,"maintain","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","International",,1,0,0,0,0,0,0,0,0,0,0,1
"HDSP57","Ports and traffic","not specified","MATL","ES","Spain","Species","1227","Chelonia mydas","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CX02","Support conservation measures in countries outside the EU",0,,,,"ident","HD (Directive 92/43/EEC)","not specified","International",,1,0,0,0,0,0,0,0,0,0,0,1
"HDSP58","Ports and traffic","not specified","MATL","ES","Spain","Species","1227","Chelonia mydas","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CF08","Reduce/eliminate marine contamination with litter",0,,,,"ident","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,0,0,1,0,2
"HDSP59","Ports and traffic","not specified","MATL","ES","Spain","Species","1227","Chelonia mydas","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CG05","Reduce bycatch and incidental killing of non-target species",0,,,,"ident","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,0,0,0,0,1
"HDSP60","Ports and traffic","not specified","MATL","ES","Spain","Species","1227","Chelonia mydas","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CF07","Reduce/eliminate marine pollution from industrial, commercial, residential and recreational areas and activities",0,,,,"ident","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,1,1,1,0,4
"HDSP61","Ports and traffic","not specified","MATL","ES","Spain","Species","1227","Chelonia mydas","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CF08","Reduce/eliminate marine contamination with litter",0,,,,"ident","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,0,0,1,0,2
"HDSP62","Ports and traffic","not specified","MATL","ES","Spain","Species","1227","Chelonia mydas","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"H","CE04","Manage/reduce/eliminate marine pollution from transport",0,,,,"ident","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,1,1,0,0,3
"HDSP63","Ports and traffic","not specified","MATL","ES","Spain","Species","1227","Chelonia mydas","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CG05","Reduce bycatch and incidental killing of non-target species",0,,,,"ident","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,0,0,0,0,1
"HDSP64","Ports and traffic","not specified","MATL","ES","Spain","Species","1227","Chelonia mydas","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CF07","Reduce/eliminate marine pollution from industrial, commercial, residential and recreational areas and activities",0,,,,"ident","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,1,1,1,0,4
"HDSP65","Ports and traffic","not specified","MATL","ES","Spain","Species","1227","Chelonia mydas","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CE04","Manage/reduce/eliminate marine pollution from transport",0,,,,"ident","HD (Directive 92/43/EEC)","not specified","Not specified",,1,0,0,0,0,0,0,1,1,0,0,3
"HDSP66","Ports and traffic","not specified","MATL","ES","Spain","Species","1227","Chelonia mydas","Not specified","E02","Shipping lanes and ferry lanes transport operations","p",,"H","CX02","Support conservation measures in countries outside the EU",0,,,,"ident","HD (Directive 92/43/EEC)","not specified","International",,1,0,0,0,0,0,0,0,0,0,0,1
"HDSP67","Ports and traffic","not specified","MATL","ES","Spain","Species","1350","Delphinus delphis","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CE05","Manage/reduce/eliminate noise, light and other forms of pollution from transport",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Medidas planteadas en los programas de medidas de las Estrategias Marinas.",1,0,0,0,0,0,0,1,1,0,1,4
"HDSP68","Ports and traffic","not specified","MATL","ES","Spain","Species","1350","Delphinus delphis","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CF08","Reduce/eliminate marine contamination with litter",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Medidas planteadas en los programas de medidas de las Estrategias Marinas.",1,0,0,0,0,0,0,0,0,1,0,2
"HDSP69","Ports and traffic","not specified","MATL","ES","Spain","Species","1350","Delphinus delphis","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CX01","Support conservation measures in another EU Member State",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","International","Medidas planteadas en los programas de medidas de las Estrategias Marinas.",1,0,0,0,0,0,0,0,0,0,0,1
"HDSP70","Ports and traffic","not specified","MATL","ES","Spain","Species","1350","Delphinus delphis","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CA13","Reduce/eliminate marine pollution from agricultural activities",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Medidas planteadas en los programas de medidas de las Estrategias Marinas.",1,0,0,0,0,0,0,1,1,0,0,3
"HDSP71","Ports and traffic","not specified","MATL","ES","Spain","Species","1350","Delphinus delphis","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CF07","Reduce/eliminate marine pollution from industrial, commercial, residential and recreational areas and activities",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Medidas planteadas en los programas de medidas de las Estrategias Marinas.",1,0,0,0,0,0,0,1,1,1,0,4
"HDSP72","Ports and traffic","not specified","MATL","ES","Spain","Species","1350","Delphinus delphis","Not specified","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CH01","Reduce impact of military installations and activities",0,"maintain","inOut","lonTerm","taken","HD (Directive 92/43/EEC)","not specified","Not specified","Medidas planteadas en los programas de medidas de las Estrategias Marinas.",1,0,0,0,0,0,0,0,0,0,0,1
