"MeasureCode","Sector","Use or activity","Region","Country_code","Country","Measure Impacts to","Feature code","Feature Name","Water body category","Pressure code","Pressure name","Pressure type","Pressure location","Ranking","Measure code","Measure name","Measure type recommended to address E02 and/or E03","Measure purpose","Measure location","Measure response","Status","Origin of the measure","Nature of the measure","Spatial scope","Measure additional info","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","TOTAL_impacts"
"HDH11","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1130","Estuaries","Transitional","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CF02","Habitat restoration of areas impacted by residential, commercial, industrial and recreational infrastructure, operations and activities",0,"increase","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,0,2
"HDH12","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1130","Estuaries","Transitional","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CF05","Reduce/eliminate diffuse pollution to surface or ground waters from industrial, commercial, residential and recreational areas and activities",0,"increase","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,1,1,1,0,5
"HDH13","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1130","Estuaries","Transitional","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CI03","Management, control or eradication of other invasive alien species",0,"increase","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,1,0,0,0,1,0,0,0,0,0,3
"HDH14","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1130","Estuaries","Transitional","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CF10","Manage changes in hydrological and coastal systems and regimes for construction and development",0,"increase","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,1,0,0,0,0,3
"HDH15","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1130","Estuaries","Transitional","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CJ02","Reduce impact of multi-purpose hydrological changes",0,"increase","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,1,0,0,0,0,3
"HDH16","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1130","Estuaries","Transitional","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CF02","Habitat restoration of areas impacted by residential, commercial, industrial and recreational infrastructure, operations and activities",0,"increase","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,0,2
"HDH17","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1130","Estuaries","Transitional","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","t",,"H","CF10","Manage changes in hydrological and coastal systems and regimes for construction and development",0,"increase","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,1,0,0,0,0,3
"HDH18","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1130","Estuaries","Transitional","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","t",,"H","CI03","Management, control or eradication of other invasive alien species",0,"increase","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,1,0,0,0,1,0,0,0,0,0,3
"HDH19","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1130","Estuaries","Transitional","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","t",,"H","CF05","Reduce/eliminate diffuse pollution to surface or ground waters from industrial, commercial, residential and recreational areas and activities",0,"increase","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,1,1,1,0,5
"HDH20","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1130","Estuaries","Transitional","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","t",,"H","CE06","Habitat restoration of areas impacted by transport",1,"increase","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,0,2
"HDH21","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1130","Estuaries","Transitional","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CF10","Manage changes in hydrological and coastal systems and regimes for construction and development",0,"increase","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,1,0,0,0,0,3
"HDH22","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1130","Estuaries","Transitional","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","p",,"H","CJ02","Reduce impact of multi-purpose hydrological changes",0,"increase","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,1,0,0,0,0,3
"HDH23","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1130","Estuaries","Transitional","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CF05","Reduce/eliminate diffuse pollution to surface or ground waters from industrial, commercial, residential and recreational areas and activities",0,"increase","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,1,1,1,0,5
"HDH24","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1130","Estuaries","Transitional","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","p",,"H","CE06","Habitat restoration of areas impacted by transport",1,"increase","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,0,2
"HDH25","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1130","Estuaries","Transitional","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CE06","Habitat restoration of areas impacted by transport",1,"increase","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,0,2
"HDH26","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1130","Estuaries","Transitional","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CJ02","Reduce impact of multi-purpose hydrological changes",0,"increase","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,1,0,0,0,0,3
"HDH27","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1130","Estuaries","Transitional","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","p",,"H","CF10","Manage changes in hydrological and coastal systems and regimes for construction and development",0,"increase","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,1,0,0,0,0,3
"HDH28","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1130","Estuaries","Transitional","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","p",,"H","CI03","Management, control or eradication of other invasive alien species",0,"increase","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,1,0,0,0,1,0,0,0,0,0,3
"HDH29","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1130","Estuaries","Transitional","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","p",,"H","CF05","Reduce/eliminate diffuse pollution to surface or ground waters from industrial, commercial, residential and recreational areas and activities",0,"increase","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,1,1,1,0,5
"HDH30","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1130","Estuaries","Transitional","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","t",,"H","CJ02","Reduce impact of multi-purpose hydrological changes",0,"increase","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,1,0,0,0,0,3
"HDH31","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1130","Estuaries","Transitional","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CI03","Management, control or eradication of other invasive alien species",0,"increase","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,1,0,0,0,1,0,0,0,0,0,3
"HDH32","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1130","Estuaries","Transitional","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","t",,"H","CF02","Habitat restoration of areas impacted by residential, commercial, industrial and recreational infrastructure, operations and activities",0,"increase","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,0,2
"HDH33","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1140","Mudflats and sandflats not covered by seawater at low tide","Coastal","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","t",,"H","CF10","Manage changes in hydrological and coastal systems and regimes for construction and development",0,"increase","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","LIFE ZTAR",1,0,0,0,0,1,1,0,0,0,0,3
"HDH34","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1140","Mudflats and sandflats not covered by seawater at low tide","Coastal","E02","Shipping lanes and ferry lanes transport operations","t",,"M","CF10","Manage changes in hydrological and coastal systems and regimes for construction and development",0,"increase","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","LIFE ZTAR",1,0,0,0,0,1,1,0,0,0,0,3
"HDH35","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1140","Mudflats and sandflats not covered by seawater at low tide","Coastal","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","p",,"H","CF10","Manage changes in hydrological and coastal systems and regimes for construction and development",0,"increase","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","LIFE ZTAR",1,0,0,0,0,1,1,0,0,0,0,3
"HDH36","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1140","Mudflats and sandflats not covered by seawater at low tide","Coastal","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CF10","Manage changes in hydrological and coastal systems and regimes for construction and development",0,"increase","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","LIFE ZTAR",1,0,0,0,0,1,1,0,0,0,0,3
"HDH37","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1170","Reefs","Open sea","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","t",,"H","CC06","Reduce impact of service corridors and networks",0,"restore","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","The main conservations measures  to improve the habitatquality are those to manage professional/commercial fishing. Measures are needed to reduce the disturbance of the soil  caused by bottomtrawling.  Measures were defined in the Marine Spatial Plan (2014-2020) and negotiated with the Netherlands, France, Germany, Denmark and the UK under the CFP. A  Joint Recomendation  was sent to the European Commission on 28 february 2017. This recomendation was rejected by the European Parliament on 14 june 2018.  Research will be done to develop a new proposal but this means that effective measures to reduce bottom impact are delayed",1,0,0,0,0,1,0,0,0,0,0,2
"HDH38","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1170","Reefs","Open sea","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","t",,"H","CC03","Adapt/manage renewable energy installation, facilities and operation",0,"restore","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","The main conservations measures  to improve the habitatquality are those to manage professional/commercial fishing. Measures are needed to reduce the disturbance of the soil  caused by bottomtrawling.  Measures were defined in the Marine Spatial Plan (2014-2020) and negotiated with the Netherlands, France, Germany, Denmark and the UK under the CFP. A  Joint Recomendation  was sent to the European Commission on 28 february 2017. This recomendation was rejected by the European Parliament on 14 june 2018.  Research will be done to develop a new proposal but this means that effective measures to reduce bottom impact are delayed",1,0,0,0,0,1,0,0,0,0,1,3
"HDH39","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1170","Reefs","Open sea","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","t",,"H","CE04","Manage/reduce/eliminate marine pollution from transport",0,"restore","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","The main conservations measures  to improve the habitatquality are those to manage professional/commercial fishing. Measures are needed to reduce the disturbance of the soil  caused by bottomtrawling.  Measures were defined in the Marine Spatial Plan (2014-2020) and negotiated with the Netherlands, France, Germany, Denmark and the UK under the CFP. A  Joint Recomendation  was sent to the European Commission on 28 february 2017. This recomendation was rejected by the European Parliament on 14 june 2018.  Research will be done to develop a new proposal but this means that effective measures to reduce bottom impact are delayed",1,0,0,0,0,1,0,1,1,0,0,4
"HDH40","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1170","Reefs","Open sea","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","t",,"H","CG02","Management of hunting, recreational fishing and recreational or commercial harvesting or collection of plants",0,"restore","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","The main conservations measures  to improve the habitatquality are those to manage professional/commercial fishing. Measures are needed to reduce the disturbance of the soil  caused by bottomtrawling.  Measures were defined in the Marine Spatial Plan (2014-2020) and negotiated with the Netherlands, France, Germany, Denmark and the UK under the CFP. A  Joint Recomendation  was sent to the European Commission on 28 february 2017. This recomendation was rejected by the European Parliament on 14 june 2018.  Research will be done to develop a new proposal but this means that effective measures to reduce bottom impact are delayed",1,0,1,0,0,1,0,0,0,0,0,3
"HDH41","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1170","Reefs","Open sea","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","t",,"H","CC01","Adapt/manage extraction of non-energy resources",0,"restore","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","The main conservations measures  to improve the habitatquality are those to manage professional/commercial fishing. Measures are needed to reduce the disturbance of the soil  caused by bottomtrawling.  Measures were defined in the Marine Spatial Plan (2014-2020) and negotiated with the Netherlands, France, Germany, Denmark and the UK under the CFP. A  Joint Recomendation  was sent to the European Commission on 28 february 2017. This recomendation was rejected by the European Parliament on 14 june 2018.  Research will be done to develop a new proposal but this means that effective measures to reduce bottom impact are delayed",1,0,0,0,0,1,1,0,0,0,0,3
"HDH42","Ports and traffic","not specified","MATL","BE","Belgium","Habitats","1170","Reefs","Open sea","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","t",,"H","CG01","Management of professional/commercial fishing (including shellfish and seaweed harvesting)",0,"restore","inOut","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified","The main conservations measures  to improve the habitatquality are those to manage professional/commercial fishing. Measures are needed to reduce the disturbance of the soil  caused by bottomtrawling.  Measures were defined in the Marine Spatial Plan (2014-2020) and negotiated with the Netherlands, France, Germany, Denmark and the UK under the CFP. A  Joint Recomendation  was sent to the European Commission on 28 february 2017. This recomendation was rejected by the European Parliament on 14 june 2018.  Research will be done to develop a new proposal but this means that effective measures to reduce bottom impact are delayed",1,0,1,0,0,1,0,0,0,0,0,3
"HDH43","Ports and traffic","not specified","MBLS","BG","Bulgaria","Habitats","1110","Sandbanks which are slightly covered by sea water all the time","Coastal and open sea","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","p",,"M","CF02","Habitat restoration of areas impacted by residential, commercial, industrial and recreational infrastructure, operations and activities",0,"maintain","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,0,2
"HDH44","Ports and traffic","not specified","MBLS","BG","Bulgaria","Habitats","1110","Sandbanks which are slightly covered by sea water all the time","Coastal and open sea","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","p",,"M","CN02","Implement climate change adaptation measures",0,"maintain","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,1,1,1,1,1,1,1,1,1,1,11
"HDH45","Ports and traffic","not specified","MBLS","BG","Bulgaria","Habitats","1110","Sandbanks which are slightly covered by sea water all the time","Coastal and open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CI01","Early detection and rapid eradication of invasive alien species of Union concern",0,"maintain","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,1,0,0,0,1,0,0,0,0,0,3
"HDH46","Ports and traffic","not specified","MBLS","BG","Bulgaria","Habitats","1110","Sandbanks which are slightly covered by sea water all the time","Coastal and open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CF10","Manage changes in hydrological and coastal systems and regimes for construction and development",0,"maintain","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,1,0,0,0,0,3
"HDH47","Ports and traffic","not specified","MBLS","BG","Bulgaria","Habitats","1110","Sandbanks which are slightly covered by sea water all the time","Coastal and open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CF04","Reduce/eliminate point source pollution to surface or ground waters from industrial, commercial, residential and recreational areas and activities",0,"maintain","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,1,1,1,0,5
"HDH48","Ports and traffic","not specified","MBLS","BG","Bulgaria","Habitats","1110","Sandbanks which are slightly covered by sea water all the time","Coastal and open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CF02","Habitat restoration of areas impacted by residential, commercial, industrial and recreational infrastructure, operations and activities",0,"maintain","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,0,2
"HDH49","Ports and traffic","not specified","MBLS","BG","Bulgaria","Habitats","1110","Sandbanks which are slightly covered by sea water all the time","Coastal and open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CE06","Habitat restoration of areas impacted by transport",1,"maintain","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,0,2
"HDH50","Ports and traffic","not specified","MBLS","BG","Bulgaria","Habitats","1110","Sandbanks which are slightly covered by sea water all the time","Coastal and open sea","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","p",,"M","CE04","Manage/reduce/eliminate marine pollution from transport",0,"maintain","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,1,1,0,0,4
"HDH51","Ports and traffic","not specified","MBLS","BG","Bulgaria","Habitats","1110","Sandbanks which are slightly covered by sea water all the time","Coastal and open sea","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","p",,"M","CI02","Management, control or eradication of established invasive alien species of Union concern",0,"maintain","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,1,0,0,0,1,0,0,0,0,0,3
"HDH52","Ports and traffic","not specified","MBLS","BG","Bulgaria","Habitats","1110","Sandbanks which are slightly covered by sea water all the time","Coastal and open sea","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","p",,"M","CL01","Management of habitats (others than agriculture and forest) to slow, stop or reverse natural processes",0,"maintain","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,0,2
"HDH53","Ports and traffic","not specified","MBLS","BG","Bulgaria","Habitats","1110","Sandbanks which are slightly covered by sea water all the time","Coastal and open sea","E03","Shipping lanes, ferry lanes and anchorage infrastructure (e.g. canalisation, dredging)","p",,"M","CI01","Early detection and rapid eradication of invasive alien species of Union concern",0,"maintain","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,1,0,0,0,1,0,0,0,0,0,3
"HDH54","Ports and traffic","not specified","MBLS","BG","Bulgaria","Habitats","1110","Sandbanks which are slightly covered by sea water all the time","Coastal and open sea","E02","Shipping lanes and ferry lanes transport operations","p",,"M","CI02","Management, control or eradication of established invasive alien species of Union concern",0,"maintain","in","medTerm","taken","HD (Directive 92/43/EEC)","not specified","not specified",,1,1,0,0,0,1,0,0,0,0,0,3
