"MeasureCode","Sector","Use or activity","Region","Country_code","Country","Season","Measure Impacts to","Feature code","Feature name","Sub-unit","Water body","Pressure code","Pressure name","Pressure type","Pressure location","Ranking","Measure code","Measure name","Measure type recommended to address E02 and/or E03","measure purpose","Measure location","Measure response","Measure status","Origin of the measure","Nature of the measure","Spatial scope","Measure additional info","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","TOTAL_impacts"
"BD11","Ports and traffic","not specified",,"DE","Germany","P","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","t","inOutEU","H","CE04","Manage/reduce/eliminate marine pollution from transport",0,"maintain","inOut","lonTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,0,1,1,0,0,
"BD12","Ports and traffic","not specified",,"DE","Germany","P","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","p","inOutEU","H","CE04","Manage/reduce/eliminate marine pollution from transport",0,"maintain","inOut","lonTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,0,1,1,0,0,
"BD13","Ports and traffic","not specified",,"DE","Germany","P","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","t","inOutEU","H","CI04","DO NOT USE Management, control or eradication of other alien species",0,"maintain","inOut","lonTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified",,1,1,0,0,0,0,0,0,0,0,0,
"BD14","Ports and traffic","not specified",,"DE","Germany","P","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","p","inOutEU","H","CI04","DO NOT USE Management, control or eradication of other alien species",0,"maintain","inOut","lonTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified",,1,1,0,0,0,0,0,0,0,0,0,
"BD15","Ports and traffic","not specified",,"EE","Estonia","P","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","p","inMS","M","CG05","Reduce bycatch and incidental killing of non-target species",0,,,,"not specified","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,0,0,0,0,0,
"BD16","Ports and traffic","not specified",,"EE","Estonia","P","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","t","inMS","M","CG05","Reduce bycatch and incidental killing of non-target species",0,,,,"not specified","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,0,0,0,0,0,
"BD17","Ports and traffic","not specified",,"EE","Estonia","P","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","p","inMS","M","CE04","Manage/reduce/eliminate marine pollution from transport",0,,,,"not specified","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,0,1,1,0,0,
"BD18","Ports and traffic","not specified",,"EE","Estonia","P","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","t","inMS","M","CE04","Manage/reduce/eliminate marine pollution from transport",0,,,,"not specified","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,0,1,1,0,0,
"BD19","Ports and traffic","not specified",,"DE","Germany","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","t","inOutEU","H","CI04","DO NOT USE Management, control or eradication of other alien species",0,"maintain","inOut","lonTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified",,1,1,0,0,0,0,0,0,0,0,0,
"BD20","Ports and traffic","not specified",,"DE","Germany","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","p","inOutEU","H","CI04","DO NOT USE Management, control or eradication of other alien species",0,"maintain","inOut","lonTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified",,1,1,0,0,0,0,0,0,0,0,0,
"BD21","Ports and traffic","not specified",,"DE","Germany","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","t","inOutEU","H","CC03","Adapt/manage renewable energy installation, facilities and operation",0,"maintain","inOut","lonTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,0,0,0,0,1,
"BD22","Ports and traffic","not specified",,"DE","Germany","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","p","inOutEU","H","CC03","Adapt/manage renewable energy installation, facilities and operation",0,"maintain","inOut","lonTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,0,0,0,0,1,
"BD23","Ports and traffic","not specified",,"DE","Germany","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","t","inOutEU","H","CG09","Other measures to reduce impacts from marine aquaculture infrastructures and operation",0,"maintain","inOut","lonTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,1,1,0,1,1,0,0,
"BD24","Ports and traffic","not specified",,"DE","Germany","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","p","inOutEU","H","CG09","Other measures to reduce impacts from marine aquaculture infrastructures and operation",0,"maintain","inOut","lonTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,1,1,0,1,1,0,0,
"BD25","Ports and traffic","not specified",,"DE","Germany","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","t","inOutEU","H","CC12","Reduce/eliminate noise, light, thermal and other forms of pollution related to resource exploitation and energy production",0,"maintain","inOut","lonTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,0,0,0,0,1,
"BD26","Ports and traffic","not specified",,"DE","Germany","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","p","inOutEU","H","CC12","Reduce/eliminate noise, light, thermal and other forms of pollution related to resource exploitation and energy production",0,"maintain","inOut","lonTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,0,0,0,0,1,
"BD27","Ports and traffic","not specified",,"DE","Germany","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","t","inOutEU","H","CG02","Management of hunting, recreational fishing and recreational or commercial harvesting or collection of plants",0,"maintain","inOut","lonTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,1,0,0,0,0,0,0,0,0,
"BD28","Ports and traffic","not specified",,"DE","Germany","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","p","inOutEU","H","CG02","Management of hunting, recreational fishing and recreational or commercial harvesting or collection of plants",0,"maintain","inOut","lonTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,1,0,0,0,0,0,0,0,0,
"BD29","Ports and traffic","not specified",,"DE","Germany","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","t","inOutEU","H","CC01","Adapt/manage extraction of non-energy resources",0,"maintain","inOut","lonTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,1,0,0,0,0,
"BD30","Ports and traffic","not specified",,"DE","Germany","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","p","inOutEU","H","CC01","Adapt/manage extraction of non-energy resources",0,"maintain","inOut","lonTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,1,0,0,0,0,
"BD31","Ports and traffic","not specified",,"DE","Germany","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","t","inOutEU","H","CE04","Manage/reduce/eliminate marine pollution from transport",0,"maintain","inOut","lonTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,0,1,1,0,0,
"BD32","Ports and traffic","not specified",,"DE","Germany","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","p","inOutEU","H","CE04","Manage/reduce/eliminate marine pollution from transport",0,"maintain","inOut","lonTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,0,1,1,0,0,
"BD33","Ports and traffic","not specified",,"ES","Spain","W","Birds","A001","Gavia stellata",,"Not specified","E03","Shipping lanes, ferry lanes and anchorage infrastructure ","p","inMS","H","CJ02","Reduce impact of multi-purpose hydrological changes",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,1,0,0,0,0,
"BD34","Ports and traffic","not specified",,"ES","Spain","W","Birds","A001","Gavia stellata",,"Not specified","E03","Shipping lanes, ferry lanes and anchorage infrastructure ","t","inMS","H","CJ02","Reduce impact of multi-purpose hydrological changes",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,1,0,0,0,0,
"BD35","Ports and traffic","not specified",,"ES","Spain","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","t","inOutEU","M","CJ02","Reduce impact of multi-purpose hydrological changes",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,1,0,0,0,0,
"BD36","Ports and traffic","not specified",,"ES","Spain","W","Birds","A001","Gavia stellata",,"Not specified","E03","Shipping lanes, ferry lanes and anchorage infrastructure ","p","inMS","H","CJ01","Reduce impact of mixed source pollution",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,0,1,1,0,0,
"BD37","Ports and traffic","not specified",,"ES","Spain","W","Birds","A001","Gavia stellata",,"Not specified","E03","Shipping lanes, ferry lanes and anchorage infrastructure ","t","inMS","H","CJ01","Reduce impact of mixed source pollution",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,0,1,1,0,0,
"BD38","Ports and traffic","not specified",,"ES","Spain","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","t","inOutEU","M","CJ01","Reduce impact of mixed source pollution",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,0,1,1,0,0,
"BD39","Ports and traffic","not specified",,"ES","Spain","W","Birds","A001","Gavia stellata",,"Not specified","E03","Shipping lanes, ferry lanes and anchorage infrastructure ","p","inMS","H","CG01","Management of professional/commercial fishing (including shellfish and seaweed harvesting)",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,1,0,0,0,0,0,0,0,0,
"BD40","Ports and traffic","not specified",,"ES","Spain","W","Birds","A001","Gavia stellata",,"Not specified","E03","Shipping lanes, ferry lanes and anchorage infrastructure ","t","inMS","H","CG01","Management of professional/commercial fishing (including shellfish and seaweed harvesting)",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,1,0,0,0,0,0,0,0,0,
"BD41","Ports and traffic","not specified",,"ES","Spain","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","t","inOutEU","M","CG01","Management of professional/commercial fishing (including shellfish and seaweed harvesting)",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,1,0,0,0,0,0,0,0,0,
"BD42","Ports and traffic","not specified",,"ES","Spain","W","Birds","A001","Gavia stellata",,"Not specified","E03","Shipping lanes, ferry lanes and anchorage infrastructure ","p","inMS","H","CF02","Habitat restoration of areas impacted by residential, commercial, industrial and recreational infrastructure, operations and activities",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,0,
"BD43","Ports and traffic","not specified",,"ES","Spain","W","Birds","A001","Gavia stellata",,"Not specified","E03","Shipping lanes, ferry lanes and anchorage infrastructure ","t","inMS","H","CF02","Habitat restoration of areas impacted by residential, commercial, industrial and recreational infrastructure, operations and activities",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,0,
"BD44","Ports and traffic","not specified",,"ES","Spain","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","t","inOutEU","M","CF02","Habitat restoration of areas impacted by residential, commercial, industrial and recreational infrastructure, operations and activities",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,0,
"BD45","Ports and traffic","not specified",,"ES","Spain","W","Birds","A001","Gavia stellata",,"Not specified","E03","Shipping lanes, ferry lanes and anchorage infrastructure ","p","inMS","H","CS03","Improvement of habitat of species from the directives",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,0,
"BD46","Ports and traffic","not specified",,"ES","Spain","W","Birds","A001","Gavia stellata",,"Not specified","E03","Shipping lanes, ferry lanes and anchorage infrastructure ","t","inMS","H","CS03","Improvement of habitat of species from the directives",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,0,
"BD47","Ports and traffic","not specified",,"ES","Spain","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","t","inOutEU","M","CS03","Improvement of habitat of species from the directives",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,0,
"BD48","Ports and traffic","not specified",,"ES","Spain","W","Birds","A001","Gavia stellata",,"Not specified","E03","Shipping lanes, ferry lanes and anchorage infrastructure ","p","inMS","H","CX01","Support conservation measures in another EU Member State",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","International",,1,0,0,0,0,0,0,0,0,0,0,
"BD49","Ports and traffic","not specified",,"ES","Spain","W","Birds","A001","Gavia stellata",,"Not specified","E03","Shipping lanes, ferry lanes and anchorage infrastructure ","t","inMS","H","CX01","Support conservation measures in another EU Member State",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","International",,1,0,0,0,0,0,0,0,0,0,0,
"BD50","Ports and traffic","not specified",,"ES","Spain","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","t","inOutEU","M","CX01","Support conservation measures in another EU Member State",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","International",,1,0,0,0,0,0,0,0,0,0,0,
"BD51","Ports and traffic","not specified",,"ES","Spain","W","Birds","A001","Gavia stellata",,"Not specified","E03","Shipping lanes, ferry lanes and anchorage infrastructure ","p","inMS","H","CE01","Reduce impact of transport operation and infrastructure",1,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,0,0
"BD52","Ports and traffic","not specified",,"ES","Spain","W","Birds","A001","Gavia stellata",,"Not specified","E03","Shipping lanes, ferry lanes and anchorage infrastructure ","t","inMS","H","CE01","Reduce impact of transport operation and infrastructure",1,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,0,0
"BD53","Ports and traffic","not specified",,"ES","Spain","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","t","inOutEU","M","CE01","Reduce impact of transport operation and infrastructure",1,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,1,0,0,0,0,0,0
"BD54","Ports and traffic","not specified",,"ES","Spain","W","Birds","A001","Gavia stellata",,"Not specified","E03","Shipping lanes, ferry lanes and anchorage infrastructure ","p","inMS","H","CN01","Adopt climate change mitigation measures",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,1,1,1,1,1,1,1,1,1,1,
"BD55","Ports and traffic","not specified",,"ES","Spain","W","Birds","A001","Gavia stellata",,"Not specified","E03","Shipping lanes, ferry lanes and anchorage infrastructure ","t","inMS","H","CN01","Adopt climate change mitigation measures",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,1,1,1,1,1,1,1,1,1,1,
"BD56","Ports and traffic","not specified",,"ES","Spain","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","t","inOutEU","M","CN01","Adopt climate change mitigation measures",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,1,1,1,1,1,1,1,1,1,1,
"BD57","Ports and traffic","not specified",,"ES","Spain","W","Birds","A001","Gavia stellata",,"Not specified","E03","Shipping lanes, ferry lanes and anchorage infrastructure ","p","inMS","H","CG05","Reduce bycatch and incidental killing of non-target species",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,0,0,0,0,0,
"BD58","Ports and traffic","not specified",,"ES","Spain","W","Birds","A001","Gavia stellata",,"Not specified","E03","Shipping lanes, ferry lanes and anchorage infrastructure ","t","inMS","H","CG05","Reduce bycatch and incidental killing of non-target species",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,0,0,0,0,0,
"BD59","Ports and traffic","not specified",,"ES","Spain","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","t","inOutEU","M","CG05","Reduce bycatch and incidental killing of non-target species",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,0,0,0,0,0,
"BD60","Ports and traffic","not specified",,"NL","Netherlands","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","p","inMS","M","CC03","Adapt/manage renewable energy installation, facilities and operation",0,"maintain","inOut","medTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified","current consveration status favourable, but numers are declining, measures have been taken with regard to recreation pressure, fishery  and wind energy",1,0,0,0,0,0,0,0,0,0,1,
"BD61","Ports and traffic","not specified",,"NL","Netherlands","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","t","inMS","M","CC03","Adapt/manage renewable energy installation, facilities and operation",0,"maintain","inOut","medTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified","current consveration status favourable, but numers are declining, measures have been taken with regard to recreation pressure, fishery  and wind energy",1,0,0,0,0,0,0,0,0,0,1,
"BD62","Ports and traffic","not specified",,"NL","Netherlands","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","p","inMS","M","CG01","Management of professional/commercial fishing (including shellfish and seaweed harvesting)",0,"maintain","inOut","medTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified","current consveration status favourable, but numers are declining, measures have been taken with regard to recreation pressure, fishery  and wind energy",1,0,1,0,0,0,0,0,0,0,0,
"BD63","Ports and traffic","not specified",,"NL","Netherlands","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","t","inMS","M","CG01","Management of professional/commercial fishing (including shellfish and seaweed harvesting)",0,"maintain","inOut","medTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified","current consveration status favourable, but numers are declining, measures have been taken with regard to recreation pressure, fishery  and wind energy",1,0,1,0,0,0,0,0,0,0,0,
"BD64","Ports and traffic","not specified",,"NL","Netherlands","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","p","inMS","M","CF03","Reduce impact of outdoor sports, leisure and recreational activities",0,"maintain","inOut","medTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified","current consveration status favourable, but numers are declining, measures have been taken with regard to recreation pressure, fishery  and wind energy",1,0,0,0,0,0,0,0,0,1,0,
"BD65","Ports and traffic","not specified",,"NL","Netherlands","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","t","inMS","M","CF03","Reduce impact of outdoor sports, leisure and recreational activities",0,"maintain","inOut","medTerm","taken","BD (Directive 79/409/EEC)","not specified","not specified","current consveration status favourable, but numers are declining, measures have been taken with regard to recreation pressure, fishery  and wind energy",1,0,0,0,0,0,0,0,0,1,0,
"BD66","Ports and traffic","not specified",,"PL","Poland","W","Birds","A001","Gavia stellata",,"Not specified","E03","Shipping lanes, ferry lanes and anchorage infrastructure ","t","inMS","M","CF03","Reduce impact of outdoor sports, leisure and recreational activities",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,0,0,0,1,0,
"BD67","Ports and traffic","not specified",,"PL","Poland","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","t","inMS","M","CF03","Reduce impact of outdoor sports, leisure and recreational activities",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,0,0,0,1,0,
"BD68","Ports and traffic","not specified",,"PL","Poland","W","Birds","A001","Gavia stellata",,"Not specified","E03","Shipping lanes, ferry lanes and anchorage infrastructure ","p","inMS","M","CF03","Reduce impact of outdoor sports, leisure and recreational activities",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,0,0,0,1,0,
"BD69","Ports and traffic","not specified",,"PL","Poland","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","p","inMS","M","CF03","Reduce impact of outdoor sports, leisure and recreational activities",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,0,0,0,1,0,
"BD70","Ports and traffic","not specified",,"PL","Poland","W","Birds","A001","Gavia stellata",,"Not specified","E03","Shipping lanes, ferry lanes and anchorage infrastructure ","t","inMS","M","CG05","Reduce bycatch and incidental killing of non-target species",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,0,0,0,0,0,
"BD71","Ports and traffic","not specified",,"PL","Poland","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","t","inMS","M","CG05","Reduce bycatch and incidental killing of non-target species",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,0,0,0,0,0,
"BD72","Ports and traffic","not specified",,"PL","Poland","W","Birds","A001","Gavia stellata",,"Not specified","E03","Shipping lanes, ferry lanes and anchorage infrastructure ","p","inMS","M","CG05","Reduce bycatch and incidental killing of non-target species",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,0,0,0,0,0,
"BD73","Ports and traffic","not specified",,"PL","Poland","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","p","inMS","M","CG05","Reduce bycatch and incidental killing of non-target species",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,0,0,0,0,0,
"BD74","Ports and traffic","not specified",,"PL","Poland","W","Birds","A001","Gavia stellata",,"Not specified","E03","Shipping lanes, ferry lanes and anchorage infrastructure ","t","inMS","M","CC01","Adapt/manage extraction of non-energy resources",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,1,0,0,0,0,
"BD75","Ports and traffic","not specified",,"PL","Poland","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","t","inMS","M","CC01","Adapt/manage extraction of non-energy resources",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,1,0,0,0,0,
"BD76","Ports and traffic","not specified",,"PL","Poland","W","Birds","A001","Gavia stellata",,"Not specified","E03","Shipping lanes, ferry lanes and anchorage infrastructure ","p","inMS","M","CC01","Adapt/manage extraction of non-energy resources",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,1,0,0,0,0,
"BD77","Ports and traffic","not specified",,"PL","Poland","W","Birds","A001","Gavia stellata",,"Not specified","E02","Shipping lanes and ferry lanes transport operations","p","inMS","M","CC01","Adapt/manage extraction of non-energy resources",0,,,,"ident","BD (Directive 79/409/EEC)","not specified","not specified",,1,0,0,0,0,0,1,0,0,0,0,
